date,Owners
2023/2/14,1892000
2023/2/15,1894000
2023/2/16,1895000
2023/2/17,1895000
2023/2/18,1894000
2023/2/19,1894000
2023/2/20,1899000
2023/2/21,1900000
2023/2/22,1901000
2023/2/23,1901000
2023/2/24,1902000
2023/2/25,1900000
2023/2/26,1902000
2023/2/27,1907000
2023/2/28,1909000
2023/3/1,1910000
2023/3/2,1912000
2023/3/3,1912000
2023/3/4,1912000
2023/3/5,1911000
2023/3/6,1916000
2023/3/7,1912000
2023/3/8,1907000
2023/3/9,1908000
2023/3/10,1906000
2023/3/11,1899000
2023/3/12,1898000
2023/3/13,1898000
2023/3/14,1917000
2023/3/15,1926000
2023/3/16,1931000
2023/3/17,1924000
2023/3/18,1915000
2023/3/19,1919000
2023/3/20,1919000
2023/3/21,1919000
2023/3/22,1936000
2023/3/23,1938000
2023/3/24,1942000
2023/3/25,1942000
2023/3/26,1942000
2023/3/27,1956000
2023/3/28,1963000
2023/3/29,1965000
2023/3/30,1968000
2023/3/31,1970000
2023/4/1,1970000
2023/4/2,1969000
2023/4/3,1977000
2023/4/4,1978000
2023/4/5,1981000
2023/4/6,1985000
2023/4/7,1985000
2023/4/8,1983000
2023/4/9,1986000
2023/4/10,1990000
2023/4/11,1995000
2023/4/12,1997000
2023/4/13,1997000
2023/4/14,1998000
2023/4/15,1996000
2023/4/16,1999000
2023/4/17,2003000
2023/4/18,2002000
2023/4/19,1996000
2023/4/20,1996000
2023/4/21,1991000
2023/4/22,1986000
2023/4/23,1987000
2023/4/24,1996000
2023/4/25,2003000
2023/4/26,2014000
2023/4/27,2014000
2023/4/28,2014000
2023/4/29,2018000
2023/4/30,2020000
2023/5/1,2024000
2023/5/2,2033000
2023/5/3,2033000
2023/5/4,2036000
2023/5/5,2039000
2023/5/6,2038000
2023/5/7,2038000
2023/5/8,2043000
2023/5/9,2043000
2023/5/10,2043000
2023/5/11,2047000
2023/5/12,2048000
2023/5/13,2048000
2023/5/14,2050000
2023/5/15,2054000
2023/5/16,2054000
2023/5/17,2055000
2023/5/18,2055000
2023/5/19,2056000
2023/5/20,2056000
2023/5/21,2058000
2023/5/22,2058000
2023/5/23,2061000
2023/5/24,2063000
2023/5/25,2063000
2023/5/26,2064000
2023/5/27,2064000
2023/5/28,2064000
2023/5/29,2066000
2023/5/30,2065000
2023/5/31,2057000
2023/6/1,2052000
2023/6/2,2051000
2023/6/3,2051000
2023/6/4,2039000
2023/6/5,2050000
2023/6/6,2059000
2023/6/7,2072000
2023/6/8,2077000
2023/6/9,2077000
2023/6/10,2077000
2023/6/11,2081000
2023/6/12,2092000
2023/6/13,2096000
2023/6/14,2098000
2023/6/15,2098000
2023/6/16,2100000
2023/6/17,2099000
2023/6/18,2100000
2023/6/19,2107000
2023/6/20,2110000
2023/6/21,2110000
2023/6/22,2111000
2023/6/23,2114000
2023/6/24,2115000
2023/6/25,2116000
2023/6/26,2116000
2023/6/27,2120000
2023/6/28,2124000
2023/6/29,2125000
2023/6/30,2125000
2023/7/1,2098000
2023/7/2,2094000
2023/7/3,2102000
2023/7/4,2102000
2023/7/5,2108000
2023/7/6,2116000
2023/7/7,2120000
2023/7/8,2120000
2023/7/9,2116000
2023/7/10,2127000
2023/7/11,2127000
2023/7/12,2127000
2023/7/13,2137000
