date,Owners
2023-10-05,945032.974826586
2023-10-06,947390.834198385
2023-10-07,948192.708145473
2023-10-08,948686.137674269
2023-10-09,949044.90936229
2023-10-10,949346.488464301
2023-10-11,949640.32318429
